SWのポートのLEDが緑点滅になっている。これはどういった状態か？,ポートに異常が起きている状態,ポートで通信を行っている状態,ポートがshutdownされている状態,対向ポートでshutdownされている状態
通信経路確認するコマンドはどれか？,ping,traceroute,tracert,trace
ネットワーク機器に遠隔から安全に接続するためのコマンドはどれか？,telnet,ssh,ping,tftp
show interface statusでDuplexがa-fullになっている時はどういった状態か？,固定設定によりduplexが全二重になった,オートネゴシエーションによりduplexが全二重になった,オートネゴシエーションによりduplexが半二重になった,固定設定によりduplexが半二重になった
IFを閉塞した際、show interface statusのStatusはどう見えるか？,connected,disabled,errdisable,notconnect
IFに管理用の説明文は付けるコマンドはどれか？ ※XXXXは説明文です。,manual XXXX,description XXXX,Connect XXXX,Coment XXXX
IFの速度を10Mbpsを設定するコマンドはどれか？,Speed 10Mbps,Speed 10,Speed 10000,speed 1000
IFの閉塞を行うコマンドはどれか？,not connect,shutdown,no shutdown,disabled
デフォルトVLANはどれか？,0,1,1000,1001
スタティックルーティングの特徴はどれか？,障害が発生すると自動で経路情報が更新され通信が迂回する,経路が自動集約されない,障害が起きても通信できる,ネットワークが大きいほど設定が楽になる
ルーティングテーブルを確認するコマンドはどれか？,show running-config,show ip route,show route,route print
ルーティングテーブル上で直接接続ルートをコードはどれか？,S,C,O,R
ディスタンスベクタ型ルーティングプロトコルはどれか？,OSPF,RIP,Static,BGP
StaicルートのAD値はどれか？,0,1,20,255
選択肢の中でOSPFのルーターIDとして選ばれるものはどれか？,起動しているLoアドレスで一番大きいアドレス,router-idで指定したアドレス,起動しているLoアドレスで一番小さいアドレス,起動しているIFに付与したアドレスで一番大きいアドレス
OSPFのAD値はどれか？,90,110,120,1
OSPFコストを決める際に使用するパラメータはどれか？,帯域幅とMTU,帯域幅,帯域幅と遅延,帯域幅とインタフェースの信頼性
OSPFのプライオリティ値を0にするとどうなるか？,何も起きない,DRやBDRに選定されなくなる,コストが0になる,DRやBDRに選定される様になる
OSPFのバックボーンエリアはどれか？,エリア1,エリア0,エリア0と隣接しているエリア,エリア1に隣接しているエリア
OSPFでDR/BDRの選出が行われないネットワークタイプはどれか？,ブロードキャストマルチアクセス,ポイントツーポイント,NBMA,必ずDR/BDRの選出は行われる
ポイントツーポイントタイプOSPFネットワークにおいてhelloタイマーのデフォルト値はいくつか？,30,10,20,40
OSPFのHelloパケットの送信先に使われるアドレスはどれか？,255.255.255.255,224.0.0.5,192.168.1.1,ルーターIDに設定されたアドレス
show ip ospf neighborのneighborIDで確認できるのはどれか？,自身のルーターID,ネイバールーターのルーターID,自身で有効になっているOSPFのネットワーク,ネイバールーターのOSPF プロセスID
syslogのレベル1に該当するのはどれか？,emergencies,alerts,critical,notifications
syslogのレベル4に該当するのはどれか？,errors,warnings,notifications,debugging
現在の時刻を表示するコマンドはどれか？,show status,show clock,show ntp ,show time
NTPクライアントとしてNTPサーバーに時刻同期するためのコマンドはどれか？,ntp client アドレス,ntp server アドレス,ntp アドレス,ntp master アドレス
NTPクライアントが優先的に時刻同期を行うNTPサーバーを設定する為につける引数はどれか？,master,prefer,speed,fast
デフォルトゲートウェイの冗長化を行うプロトコルはどれか？,OSPF,VRRP,BGP,IP
HSRPv1で使用できるグループ番号はどれか？,1～255,0～255,0～100,1～100
HSRPの仮想アドレスはどれか？,0000.0c05.acXX,0000.0c07.acXX,0000.5e00.01XX,0000.0d07.acXX
HSRPのデフォルトのハロータイマー値はいくつか？,5秒,3秒,10秒,60秒
HSRPのpriorityのデフォルト値はいくつか？,0,100,10,1
HSRPの状態を確認できるコマンドはどれか？,show interface status,show standby,show protocols,show version
標準ACLとして有効な番号はどれか？,100,1,2030,150
拡張ACLとして有効な番号はどれか？,1313,2323,1,1999
IPアドレス+ワイルドカードマスクで特定のホストをしている物はどれか？,192.168.1.1 255.255.255.0,host 192.168.1.1,192.168.1.1 0.0.0.255,0.0.0.0 0.0.0.0
IPアドレス+ワイルドカードマスクですべてのIPアドレスを指定しているのはどれか？,0.0.0.0 255.255.255.255,0.0.0.0 0.0.0.0,host 0.0.0.0,255.255.255.255 0.0.0.0
標準ACLで条件として設定出来る物はどれか？,宛先IPアドレスとワイルカードマスク,送信元IPアドレスとワイルカードマスク,送信元IPアドレス,送信元IPアドレスとサブネットマスク
ACLをインタフェースに設定するコマンドはどれか？,(config)# ip access-group,(config-if)# ip access-group,(config-if)# accsess-list,(config)# accsess-list
標準ACLを作成するコマンドはどれか？,(config)# accsess-list 100,(config)# accsess-list 10,(config-if)# accsess-list 10,(config)# ip access-group 100
VTYポートにACLを設定するコマンドはどれか？,(config-if)# ip access-group,(config-line)# accsess-class,(config-if)# accsess-class,(config-vty)# accsess-class
DNSとは何の略ですか？,Dynamic Network System,Domain Name System,Digital Number Service,Data Network Service
DNSの主な役割は何ですか？,IPアドレスの割り当て,ドメイン名をIPアドレスに変換する,ネットワークの監視,プライベートIPアドレスとグローバルIPアドレスの変換
DNSレコードの種類で、IPアドレスに対応するホスト名を指定するのはどれですか？,MXレコード,Aレコード,CNAMEレコード,TXTレコード
正引きの説明として正しい物はどれか？,IPアドレスからURLを調べる事,URLからIPアドレスを調べる事,IPアドレスからMACアドレスを調べる事,MACアドレスからIPアドレスを調べる事
逆引きの説明として正しい物はどれか？,URLからIPアドレスを調べる事,IPアドレスからURLを調べる事,MACアドレスからIPアドレスを調べる事,IPアドレスからMACアドレスを調べる事
STPの主な目的は何ですか？,ネットワークトラフィックの暗号化,ループの防止,データの圧縮,IPアドレスの管理
STPにおけるルートブリッジとは何ですか？,全てのトラフィックを制御するデバイス,最も優先順位の高いスイッチ,ネットワーク全体のバックアップを行うデバイス,ループを検出するデバイス
STPのポート状態でないものはどれですか？,Blocking,Sending,Listening,Learning
VLANの主な目的は何ですか？,ネットワークトラフィックの暗号化,ネットワークのセグメンテーション,IPアドレスの管理,データの圧縮
VLANの利点は次のうちどれですか？,ネットワークのループを防止,セキュリティの向上,IPアドレスの自動割り当て,データ圧縮の向上
VLAN IDの範囲は次のうちどれですか？,1-100,1-4094,1-1024,1-2048
VLAN間の通信を可能にするには何が必要ですか？,L2スイッチ,ルーター,ハブ,リピーター
VLANに関するトランキングとは何ですか？,VLAN間の通信を防ぐ,複数のVLANを1つのリンクにまとめる,ルーターの設定を簡素化する,IPアドレスを自動で割り当てる
トランクポートの主な目的は何ですか？,単一のVLANのみを通す,複数のVLANを通す,管理トラフィックのみを通す,データを暗号化する
802.1Qとは何を定義するプロトコルですか？,IPアドレスの割り当て,トランクポート上でのVLANタグ付け,MACアドレスの解決,ネットワークのセグメント化
トランクリンク上でデフォルトでタグ付けされないVLANはどれですか？,管理VLAN,ネイティブVLAN,デフォルトVLAN,ユーザー定義VLAN
NATの主な目的は何ですか？,ダイナミックルーティングを行うため,ローカルIPアドレスの隠蔽,データ圧縮,トラフィックのルーティング
静的NATとは何ですか？,1つの内部IPアドレスを複数の外部IPアドレスにマッピングする,1つの内部IPアドレスを1つの外部IPアドレスにマッピングする,複数の内部IPアドレスを1つの外部IPアドレスにマッピングする,複数の内部IPアドレスを複数の外部IPアドレスにマッピングする
動的NATではどのようにIPアドレスが割り当てられますか？,事前に設定された1つのIPアドレスを使用する,利用可能なIPアドレスプールから自動的に割り当てる,ラウンドロビン方式で割り当てる,ユーザーが手動で選択する
オーバーロードNAT（PAT）とは何ですか？,1つの内部IPアドレスを1つの外部IPアドレスにマッピングする,複数の内部IPアドレスを1つの外部IPアドレスにマッピングする,1つの内部IPアドレスを複数の外部IPアドレスにマッピングする,複数の内部IPアドレスを複数の外部IPアドレスにマッピングする
NATの利点は何ですか？,データの圧縮を行う,IPアドレスの枯渇を防ぐ,ネットワーク速度を向上させる,セキュリティを低下させる
QoSの主な目的は何ですか？,ネットワークのセキュリティ向上,ネットワークトラフィックの優先順位付け,データの圧縮,ネットワークの監視
QoSで最も重要な要素はどれですか？,帯域幅,選択肢全て,ジッター,遅延
QoSを実装するために使用される一般的な方法はどれですか？,暗号化,トラフィックシェーピング,データ圧縮,IPアドレス変換
テールドロップの説明として合っているものはどれですか？,キューに着信した順番にパケットを送信する事,着信したパケットを捨てる事,ACLによって破棄されたパケットの事,美味しいテールスープを凝縮して飴にしたもの
RSVPを使用するのはどれか？,DiffServ,IntServ,iBGP,ベストエフォート
CBWFQの説明として正しい物はどれか？,キューに着信した順番にパケットを送信する事,クラスごとに帯域幅を割り当て、帯域幅を確保する事,優先度の高いキューから通信を流すこと,パケロスの事
IEEE802.11gの特徴はどれか？,5GHzを使用する,最大伝送速度が54Mbpsである,最大伝送速度が11Mbpsである,IEEE802.11bとの互換性がない
アドホックモードの正しい説明はどれか？,APを介して無線LANクライアント同士が通信を行う事,APを介さず無線LANクライアント同士が通信を行う事,有線接続で通信を行う事,自動でAPに接続する機能の事
IEEE802.11のフレームに存在しないものはどれか？,管理フレーム,セキュリティフレーム,制御フレーム,データフレーム
